v4_2,Data Marking,CV,calendar-years,Time,administrative-geography,Geography,averages-and-percentiles,AveragesAndPercentiles,sex,Sex,working-pattern,WorkingPattern,hours-and-earnings,HoursAndEarnings,sector,Sector
24055.0,,0.9,2021,2021,E12000008,South East,25,25th percentile,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
18895.0,,1.0,2021,2021,E12000008,South East,10,10th percentile,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
64119.0,,4.0,2021,2021,E12000008,South East,90,90th percentile,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
32827.0,,1.0,2021,2021,E12000008,South East,median,Median,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
45786.0,,1.4,2021,2021,E12000008,South East,75,75th percentile,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
53482.0,,4.8,2021,2021,E12000009,South West,90,90th percentile,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
21793.0,,1.0,2021,2021,E12000009,South West,25,25th percentile,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
29002.0,,1.4,2021,2021,E12000009,South West,median,Median,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
17835.0,,1.0,2021,2021,E12000009,South West,10,10th percentile,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
39766.0,,2.0,2021,2021,E12000009,South West,75,75th percentile,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
21001.0,,1.4,2021,2021,E12000001,North East,25,25th percentile,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
37384.0,,3.4,2021,2021,E12000001,North East,75,75th percentile,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
17387.0,,1.3,2021,2021,E12000001,North East,10,10th percentile,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
27560.0,,1.8,2021,2021,E12000001,North East,median,Median,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
49764.0,,8.0,2021,2021,E12000001,North East,90,90th percentile,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
54914.0,,4.0,2021,2021,E12000002,North West,90,90th percentile,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
21750.0,,0.9,2021,2021,E12000002,North West,25,25th percentile,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
41048.0,,1.7,2021,2021,E12000002,North West,75,75th percentile,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
17708.0,,1.0,2021,2021,E12000002,North West,10,10th percentile,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
29371.0,,1.3,2021,2021,E12000002,North West,median,Median,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
28732.0,,1.3,2021,2021,E12000003,Yorkshire and The Humber,median,Median,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
21388.0,,1.0,2021,2021,E12000003,Yorkshire and The Humber,25,25th percentile,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
39885.0,,2.0,2021,2021,E12000003,Yorkshire and The Humber,75,75th percentile,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
17565.0,,1.2,2021,2021,E12000003,Yorkshire and The Humber,10,10th percentile,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
52458.0,,4.2,2021,2021,E12000003,Yorkshire and The Humber,90,90th percentile,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
23030.0,,1.1,2021,2021,E12000006,East,25,25th percentile,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
58635.0,,5.0,2021,2021,E12000006,East,90,90th percentile,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
18393.0,,1.1,2021,2021,E12000006,East,10,10th percentile,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
30735.0,,1.1,2021,2021,E12000006,East,median,Median,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
42780.0,,2.0,2021,2021,E12000006,East,75,75th percentile,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
57577.0,,1.9,2021,2021,E12000007,London,75,75th percentile,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
21286.0,,1.1,2021,2021,E12000007,London,10,10th percentile,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
89492.0,,4.6,2021,2021,E12000007,London,90,90th percentile,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
28441.0,,1.0,2021,2021,E12000007,London,25,25th percentile,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
39737.0,,1.1,2021,2021,E12000007,London,median,Median,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,all,All
