v4_2,Data Marking,CV,calendar-years,Time,administrative-geography,Geography,averages-and-percentiles,AveragesAndPercentiles,sex,Sex,working-pattern,WorkingPattern,hours-and-earnings,HoursAndEarnings,sector,Sector
8747.0,,4.2,2021,2021,E12000001,North East,10,10th percentile,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
8557.0,,2.6,2021,2021,E12000002,North West,10,10th percentile,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
8829.0,,2.2,2021,2021,E12000008,South East,10,10th percentile,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
10726.0,,2.6,2021,2021,E12000007,London,10,10th percentile,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
8111.0,,2.5,2021,2021,E12000006,East,10,10th percentile,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
8022.0,,4.4,2021,2021,E12000009,South West,10,10th percentile,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
8637.0,,2.8,2021,2021,E12000003,Yorkshire and The Humber,10,10th percentile,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
45993.0,,5.7,2021,2021,E12000001,North East,90,90th percentile,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
50263.0,,3.3,2021,2021,E12000002,North West,90,90th percentile,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
57482.0,,2.9,2021,2021,E12000008,South East,90,90th percentile,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
52260.0,,4.1,2021,2021,E12000006,East,90,90th percentile,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
48305.0,,4.3,2021,2021,E12000009,South West,90,90th percentile,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
80251.0,,4.2,2021,2021,E12000007,London,90,90th percentile,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
48807.0,,3.7,2021,2021,E12000003,Yorkshire and The Humber,90,90th percentile,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
24398.0,,1.2,2021,2021,E12000002,North West,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
25325.0,,1.3,2021,2021,E12000006,East,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
23273.0,,2.0,2021,2021,E12000001,North East,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
27300.0,,1.1,2021,2021,E12000008,South East,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
34583.0,,1.1,2021,2021,E12000007,London,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
23776.0,,1.3,2021,2021,E12000003,Yorkshire and The Humber,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
23790.0,,1.6,2021,2021,E12000009,South West,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
