v4_2,CV,administrative-geography,Geography,averages-and-percentiles,WorkingPattern,HoursAndEarnings
24055.0,0.9,E12000008,South East,25,Full-Time,Annual pay - Gross
18895.0,1.0,E12000008,South East,10,Full-Time,Annual pay - Gross
64119.0,4.0,E12000008,South East,90,Full-Time,Annual pay - Gross
32827.0,1.0,E12000008,South East,median,Full-Time,Annual pay - Gross
45786.0,1.4,E12000008,South East,75,Full-Time,Annual pay - Gross
53482.0,4.8,E12000009,South West,90,Full-Time,Annual pay - Gross
21793.0,1.0,E12000009,South West,25,Full-Time,Annual pay - Gross
29002.0,1.4,E12000009,South West,median,Full-Time,Annual pay - Gross
17835.0,1.0,E12000009,South West,10,Full-Time,Annual pay - Gross
39766.0,2.0,E12000009,South West,75,Full-Time,Annual pay - Gross
21001.0,1.4,E12000001,North East,25,Full-Time,Annual pay - Gross
37384.0,3.4,E12000001,North East,75,Full-Time,Annual pay - Gross
17387.0,1.3,E12000001,North East,10,Full-Time,Annual pay - Gross
27560.0,1.8,E12000001,North East,median,Full-Time,Annual pay - Gross
49764.0,8.0,E12000001,North East,90,Full-Time,Annual pay - Gross
54914.0,4.0,E12000002,North West,90,Full-Time,Annual pay - Gross
21750.0,0.9,E12000002,North West,25,Full-Time,Annual pay - Gross
41048.0,1.7,E12000002,North West,75,Full-Time,Annual pay - Gross
17708.0,1.0,E12000002,North West,10,Full-Time,Annual pay - Gross
29371.0,1.3,E12000002,North West,median,Full-Time,Annual pay - Gross
28732.0,1.3,E12000003,Yorkshire and The Humber,median,Full-Time,Annual pay - Gross
21388.0,1.0,E12000003,Yorkshire and The Humber,25,Full-Time,Annual pay - Gross
39885.0,2.0,E12000003,Yorkshire and The Humber,75,Full-Time,Annual pay - Gross
17565.0,1.2,E12000003,Yorkshire and The Humber,10,Full-Time,Annual pay - Gross
52458.0,4.2,E12000003,Yorkshire and The Humber,90,Full-Time,Annual pay - Gross
23030.0,1.1,E12000006,East,25,Full-Time,Annual pay - Gross
58635.0,5.0,E12000006,East,90,Full-Time,Annual pay - Gross
18393.0,1.1,E12000006,East,10,Full-Time,Annual pay - Gross
30735.0,1.1,E12000006,East,median,Full-Time,Annual pay - Gross
42780.0,2.0,E12000006,East,75,Full-Time,Annual pay - Gross
57577.0,1.9,E12000007,London,75,Full-Time,Annual pay - Gross
21286.0,1.1,E12000007,London,10,Full-Time,Annual pay - Gross
89492.0,4.6,E12000007,London,90,Full-Time,Annual pay - Gross
28441.0,1.0,E12000007,London,25,Full-Time,Annual pay - Gross
39737.0,1.1,E12000007,London,median,Full-Time,Annual pay - Gross
